Erythrocytic cycle number,Parasitaemia,Line
0,0.34,2B10+
0,0.21,2B10+
0,0.14,2B10+
1,0.22,2B10+
1,0.44,2B10+
1,0.37,2B10+
2,1.96,2B10+
2,2.35,2B10+
2,2.19,2B10+
3,5.5,2B10+
3,8,2B10+
3,6.86,2B10+
0,0.41,2B10-
0,0.1,2B10-
0,0.14,2B10-
1,0.66,2B10-
1,0.67,2B10-
1,0.68,2B10-
2,5.44,2B10-
2,5.44,2B10-
2,5.6,2B10-
3,21.6,2B10-
3,26.6,2B10-
3,23.9,2B10-
0,0.58,1F10+
0,0.18,1F10+
0,0.13,1F10+
1,0.58,1F10+
1,0.69,1F10+
1,0.5,1F10+
2,2.55,1F10+
2,2.95,1F10+
2,2.53,1F10+
3,8.7,1F10+
3,11.3,1F10+
3,8.95,1F10+
0,0.43,1F10-
0,0.16,1F10-
0,0.24,1F10-
1,0.91,1F10-
1,0.62,1F10-
1,0.95,1F10-
2,5.97,1F10-
2,7.29,1F10-
2,7.81,1F10-
3,26.2,1F10-
3,32,1F10-
3,29.1,1F10-
