Line,Timepoint,Treatment,Condition,Replicate,Parasitaemia
B10,AFTER,RAP-,SHAK,1,1.17
B10,AFTER,RAP-,SHAK,2,1.42
B10,AFTER,RAP-,SHAK,3,2.74
B10,AFTER,RAP-,SHAK,4,3.33
B10,AFTER,RAP-,STAT,1,0.68
B10,AFTER,RAP-,STAT,2,0.89
B10,AFTER,RAP-,STAT,3,2.14
B10,AFTER,RAP-,STAT,4,2.26
B10,AFTER,RAP+,SHAK,1,1.1
B10,AFTER,RAP+,SHAK,2,1.42
B10,AFTER,RAP+,SHAK,3,3.71
B10,AFTER,RAP+,SHAK,4,3.6
B10,AFTER,RAP+,STAT,1,0.54
B10,AFTER,RAP+,STAT,2,0.64
B10,AFTER,RAP+,STAT,3,2.17
B10,AFTER,RAP+,STAT,4,1.53
B10,BFOR,RAP-,SHAK,1,0.47
B10,BFOR,RAP-,SHAK,2,0.44
B10,BFOR,RAP-,SHAK,3,0.85
B10,BFOR,RAP-,SHAK,4,1.07
B10,BFOR,RAP-,STAT,1,0.34
B10,BFOR,RAP-,STAT,2,0.44
B10,BFOR,RAP-,STAT,3,1.14
B10,BFOR,RAP-,STAT,4,1.06
B10,BFOR,RAP+,SHAK,1,0.37
B10,BFOR,RAP+,SHAK,2,0.51
B10,BFOR,RAP+,SHAK,3,1.14
B10,BFOR,RAP+,SHAK,4,1.07
B10,BFOR,RAP+,STAT,1,0.42
B10,BFOR,RAP+,STAT,2,0.41
B10,BFOR,RAP+,STAT,3,1.32
B10,BFOR,RAP+,STAT,4,1.12
