Sample,PlaqueArea,Line,Treatment
2B10+,37,B10,RAP+
2B10+,42,B10,RAP+
2B10+,49,B10,RAP+
2B10+,57,B10,RAP+
2B10+,98,B10,RAP+
2B10+,36,B10,RAP+
2B10+,68,B10,RAP+
2B10+,28,B10,RAP+
2B10+,24,B10,RAP+
2B10+,55,B10,RAP+
2B10+,101,B10,RAP+
2B10+,35,B10,RAP+
2B10+,158,B10,RAP+
2B10+,82,B10,RAP+
2B10+,60,B10,RAP+
2B10+,57,B10,RAP+
2B10+,70,B10,RAP+
2B10+,73,B10,RAP+
2B10+,42,B10,RAP+
2B10+,40,B10,RAP+
2B10+,103,B10,RAP+
2B10+,56,B10,RAP+
2B10+,79,B10,RAP+
2B10+,75,B10,RAP+
2B10+,63,B10,RAP+
2B10+,52,B10,RAP+
2B10+,41,B10,RAP+
2B10+,6,B10,RAP+
2B10+,7,B10,RAP+
2B10+,8,B10,RAP+
2B10+,18,B10,RAP+
2B10+,43,B10,RAP+
2B10+,35,B10,RAP+
2B10+,118,B10,RAP+
2B10+,45,B10,RAP+
2B10+,32,B10,RAP+
2B10+,72,B10,RAP+
2B10+,50,B10,RAP+
2B10+,44,B10,RAP+
2B10+,87,B10,RAP+
2B10+,135,B10,RAP+
2B10+,86,B10,RAP+
2B10+,84,B10,RAP+
2B10+,58,B10,RAP+
2B10+,62,B10,RAP+
2B10+,115,B10,RAP+
2B10+,28,B10,RAP+
2B10+,104,B10,RAP+
2B10+,69,B10,RAP+
2B10+,70,B10,RAP+
2B10+,99,B10,RAP+
2B10+,72,B10,RAP+
2B10+,25,B10,RAP+
2B10+,32,B10,RAP+
2B10+,34,B10,RAP+
2B10+,18,B10,RAP+
2B10+,22,B10,RAP+
2B10+,117,B10,RAP+
2B10+,126,B10,RAP+
2B10+,74,B10,RAP+
2B10+,28,B10,RAP+
2B10+,63,B10,RAP+
2B10+,104,B10,RAP+
2B10+,105,B10,RAP+
2B10+,79,B10,RAP+
2B10+,102,B10,RAP+
2B10+,40,B10,RAP+
2B10+,44,B10,RAP+
2B10+,52,B10,RAP+
2B10+,90,B10,RAP+
2B10+,84,B10,RAP+
2B10+,108,B10,RAP+
2B10+,67,B10,RAP+
2B10+,43,B10,RAP+
2B10+,93,B10,RAP+
2B10+,75,B10,RAP+
2B10+,170,B10,RAP+
2B10+,38,B10,RAP+
2B10+,96,B10,RAP+
2B10+,135,B10,RAP+
2B10+,90,B10,RAP+
2B10+,60,B10,RAP+
2B10+,65,B10,RAP+
2B10+,47,B10,RAP+
2B10+,77,B10,RAP+
2B10+,116,B10,RAP+
2B10+,96,B10,RAP+
2B10+,75,B10,RAP+
2B10+,33,B10,RAP+
2B10+,57,B10,RAP+
2B10+,29,B10,RAP+
2B10+,82,B10,RAP+
2B10+,119,B10,RAP+
2B10+,33,B10,RAP+
2B10+,173,B10,RAP+
2B10+,79,B10,RAP+
2B10+,93,B10,RAP+
2B10+,54,B10,RAP+
2B10+,37,B10,RAP+
2B10+,24,B10,RAP+
2B10+,28,B10,RAP+
2B10+,46,B10,RAP+
2B10+,133,B10,RAP+
2B10+,59,B10,RAP+
2B10+,110,B10,RAP+
2B10+,131,B10,RAP+
2B10+,38,B10,RAP+
2B10+,77,B10,RAP+
2B10+,82,B10,RAP+
2B10+,29,B10,RAP+
2B10+,89,B10,RAP+
2B10+,34,B10,RAP+
2B10+,85,B10,RAP+
2B10+,49,B10,RAP+
2B10+,70,B10,RAP+
2B10+,89,B10,RAP+
2B10+,55,B10,RAP+
2B10+,41,B10,RAP+
2B10+,38,B10,RAP+
2B10+,44,B10,RAP+
2B10+,87,B10,RAP+
2B10+,40,B10,RAP+
2B10+,53,B10,RAP+
2B10+,105,B10,RAP+
2B10+,34,B10,RAP+
2B10+,97,B10,RAP+
2B10+,76,B10,RAP+
2B10+,43,B10,RAP+
2B10+,51,B10,RAP+
2B10+,85,B10,RAP+
2B10+,72,B10,RAP+
2B10+,57,B10,RAP+
2B10+,100,B10,RAP+
2B10+,74,B10,RAP+
2B10+,32,B10,RAP+
2B10+,91,B10,RAP+
2B10+,37,B10,RAP+
2B10+,39,B10,RAP+
2B10+,51,B10,RAP+
2B10+,108,B10,RAP+
2B10+,29,B10,RAP+
2B10+,62,B10,RAP+
2B10+,53,B10,RAP+
2B10+,28,B10,RAP+
2B10+,46,B10,RAP+
2B10+,62,B10,RAP+
