Molecular,row.ID,row.m.z,row.retention.time,DC_1.Peak.area,DC_2.Peak.area,DC_3.Peak.area,DC_4.Peak.area,DC_5.Peak.area,DC_6.Peak.area,DE_1.Peak.area,DE_2.Peak.area,DE_3.Peak.area,DE_4.Peak.area,DE_5.Peak.area,DE_6.Peak.area,RC_1.Peak.area,RC_2.Peak.area,RC_3.Peak.area,RC_4.Peak.area,RC_5.Peak.area,RC_6.Peak.area,RE_1.Peak.area,RE_2.Peak.area,RE_3.Peak.area,RE_4.Peak.area,RE_5.Peak.area,RE_6.Peak.area,U_1.Peak.area,U_2.Peak.area,U_3.Peak.area,U_4.Peak.area,U_5.Peak.area,U_6.Peak.area,NA.,ID_Ranked,Intensity_Ranked,Class_At_Max_Intensity,Adduct_At_Max_Intensity,Only_One_Class,Molecular,Adducts Confirmed by MS/MS
AcCar(16:0),334,400.3416182,4.988533333,85870.2315,102943.9657,0,0,0,0,0,0,0,0,0,0,0,94751.25963,0,0,0,0,0,0,0,0,0,0,60473298.8,60657567.77,67015299.06,67793290.48,58772487.74,61886035.5,NA,1_AcCar(16:0)+H,765083.74,AcCar,[M+H]+,Yes,AcCar(16:0),[M+H]+
AcCar(18:0),97,428.3730049,7.27655,1514244.471,1708050.193,1288586.601,1746294.377,1635637.172,1793467.876,1293917.114,1061745.694,1410184.288,1471503.594,1452201.823,1318733.183,1708853.088,1702537.51,1679403.886,1827664.692,1712950.82,1409294.653,1427136.867,887423.7336,1320476.891,1598965.303,1069485.716,1697651.252,158416764.9,160594718.9,181745020.5,177215332,159178380.5,164995244.7,NA,1_AcCar(18:0)+H,2613484.37,AcCar,[M+H]+,Yes,AcCar(18:0),[M+H]+
AcCar(18:1),225,426.3571429,5.66045,380137.3428,666724.6273,275444.4779,707483.1988,590496.6201,681464.1138,72788.62117,152415.9164,346571.4591,270848.3377,620075.6713,226220.403,547421.5386,91985.32188,485376.7855,725581.2186,178190.5112,187158.6154,208127.0734,209044.1918,78718.00781,420058.4949,66675.40052,443723.1335,65156072.25,65953949.44,76573847.92,74314524.16,65277582.18,67671642.89,NA,1_AcCar(18:1)+H,801954.693,AcCar,[M+H]+,Yes,AcCar(18:1),[M+H]+
BMP(16:0_22:5),477,814.5582537,14.93511667,21018395.27,19227977.42,10538776.38,15425648.54,16212446.17,15380770.91,15310807.29,11512633.01,15271485.72,12918919.1,14559424.03,16695392.49,9441622.937,11504180.63,8662033.753,11935223.82,13259057.38,15472835.61,13268417.4,12064715.74,14451713.39,14405516.11,13621001.44,13839953.96,8429079.756,8811197.861,9342888.621,9935322.974,7291918.836,5655643.899,NA,1_BMP(16:0_22:5)+NH4 | 1_PG(16:0_22:5)+NH4 | 3_PG(38:5)+NH4,1679637.33 | 1679637.33 | 1609465,BMP,[M+NH4]+,No,BMP(16:0_22:5),[M+NH4]+
DG(17:1_18:1),459,624.5553178,18.5665,7038458.414,6752138.768,5773392.478,7226854.672,7156862.031,6754595.339,5414277.571,5499871.342,5447747.345,5844423.904,6187468.152,7103882.227,7094770.03,7520812.587,7059805.939,5622860.231,7560416.235,7323920.335,5153841.216,5685347.79,5298205.611,4579917.752,5471326.317,5588771.805,23560.92934,0,0,48863.90296,74001.78993,25563.5141,NA,1_DG(17:1_18:1)+NH4,496063.6,DG,[M+NH4]+,Yes,DG(17:1_18:1),[M+NH4]+
DG(18:0_20:5),66,660.5551987,18.48241667,4955449.646,6690962.003,6255583.095,5596612.148,6248824.884,6739427.693,4616112.37,4394585.051,4705020,6006991.953,4701838.395,4858077.837,3828330.593,4832360.519,1528226.802,2541590.016,3319176.598,3300432.546,3242750.151,2541418.934,3078389.22,2502443.751,1619054.71,3924631.566,0,0,0,0,0,0,NA,1_DG(18:0_20:5)+NH4,372820.72,DG,[M+NH4]+,Yes,DG(18:0_20:5),[M+NH4]+
acylPG(16:0_20:2_16:0),7,1030.803384,20.21573333,56846200.21,54177835.41,52505299.18,57699568.17,55070252.68,54483153.98,37866031.39,36994583.59,37912500.8,38966445.38,40412546.41,40397280.33,53860836.78,55947659.03,57027721.4,56732865.7,56109663.87,53874655.37,44713277.1,39777754.87,41660300.02,39400266.91,37062645.61,40771700.6,0,0,0,0,0,0,NA,1_acylPG(16:0_20:2_16:0)+NH4 | 1_acylPG(16:0_18:1_18:1)+NH4,1551861 | 274074.8,acylPG,[M+NH4]+,Yes,acylPG(16:0_20:2_16:0),[M+NH4]+
acylPG(16:0_20:3_16:0),24,1028.787484,19.8257,25899417.41,25098280.97,24701366.22,25630552.48,24954195.23,25797775.38,17590216.67,14642624.76,16589744.81,16728616.74,18247266.79,16582525.51,23692861.2,24818103.86,23988418.62,25177671.79,25365541.57,25348389.78,20494054.14,17686866.61,17643697.14,13902786.88,14582060.97,17026736.82,0,0,0,0,0,0,NA,1_acylPG(16:0_20:3_16:0)+NH4,909737.91,acylPG,[M+NH4]+,Yes,acylPG(16:0_20:3_16:0),[M+NH4]+
acylPG(16:0_18:1_16:0),113,1004.787653,20.1147,47269304.9,47238028.35,44382327.48,49864939.76,46952221.91,45665957.58,32998755.94,31632808.95,32663145.65,33894355.69,35518359.29,33457142.36,47746121.89,49525281.75,48551880.29,49542607,48915459.86,46612645.34,39989159.01,37054984.66,34662071.75,34433901.48,33750250.94,35332357.05,1069581.239,1710329.661,904329.5523,1811944.845,1580102.467,843067.5884,NA,1_acylPG(16:0_18:1_16:0)+NH4,1343705.88,acylPG,[M+NH4]+,Yes,acylPG(16:0_18:1_16:0),[M+NH4]+
acylPG(18:0_18:2_18:1),51,1056.818785,20.39715,13510172.48,7186246.432,9410853.799,8955158.319,9142759.551,7815812.419,4350811.784,4948161.947,3505575.36,4460072.479,2860661.283,7260121.494,11861352.55,12187332.68,8460273.314,8615842.576,10486120.82,9102938.485,3560200.567,3622022.893,1877332.843,2491304.302,2113467.939,3194978.239,0,0,0,0,0,0,NA,1_acylPG(18:0_18:2_18:1)+NH4 | 1_acylPG(18:0_18:3_18:0)+NH4,552945.43 | 383453.93,acylPG,[M+NH4]+,Yes,acylPG(18:0_18:2_18:1),[M+NH4]+
