C2min_1,C2min_2,C2min_3,C2pls_1,C2pls_2,C2pls_3,Score,Intensity,MS/MS count,Description,Fasta headers,Protein IDs,Majority protein IDs
25.0808,24.4638,24.6029,19.2363,20.489,20.63,92.819,7.976,46,erythrocyte binding antigen-140,1301600.1  1301600 erythrocyte binding antigen-140  erythrocyte binding antigen-140  Pf3D7_13_v3:89319-93352(-)  1210,PF3D7_1301600,PF3D7_1301600
23.9038,23.7617,23.4553,19.176,21.1735,21.3078,9.5687,7.70723,15,GPI-anchored micronemal antigen,0828800.1  0828800 GPI-anchored micronemal antigen  GPI-anchored micronemal antigen  Pf3D7_08_v3:1237285-1239501(-)  738,PF3D7_0828800,PF3D7_0828800
25.0653,25.1216,25.0255,22.4834,22.1564,21.8141,170.77,8.10917,74,reticulocyte binding protein 2 homologue a,1335400.1  1335400 reticulocyte binding protein 2 homologue a  reticulocyte binding protein 2 homologue a  Pf3D7_13_v3:1440779-1450385(+)  3130;1335300.1  1335300 reticulocyte binding protein 2 homologue b  reticulocyte binding protein 2 homologue b  Pf3,PF3D7_1335400;PF3D7_1335300,PF3D7_1335400;PF3D7_1335300
21.9369,21.8474,21.698,18.9987,20.3054,19.9944,6.7488,7.11504,11,merozoite TRAP-like protein,1028700.1  1028700 merozoite TRAP-like protein  merozoite TRAP-like protein  Pf3D7_10_v3:1181005-1182501(+)  498,PF3D7_1028700,PF3D7_1028700
22.693,22.5039,22.6128,20.4133,20.7031,20.5237,33.216,7.41425,30,erythrocyte binding antigen-181,0102500.1  0102500 erythrocyte binding antigen-181  erythrocyte binding antigen-181  Pf3D7_01_v3:110750-115799(-)  1567,PF3D7_0102500,PF3D7_0102500
21.5327,21.7184,21.4212,19.759,19.134,19.6364,8.4468,7.29475,11,translocon component PTEX88,1105600.1  1105600 translocon component PTEX88  translocon component PTEX88  Pf3D7_11_v3:241184-243517(-)  777,PF3D7_1105600,PF3D7_1105600
22.3923,21.9621,22.0329,21.305,18.9565,20.1346,4.4953,7.29776,6,endoplasmic reticulum-resident calcium binding protein,1108600.1  1108600 endoplasmic reticulum-resident calcium binding protein  endoplasmic reticulum-resident calcium binding protein  Pf3D7_11_v3:369675-370706(-)  343,PF3D7_1108600,PF3D7_1108600
21.5777,21.4297,21.8535,19.3181,19.1944,20.4657,3.359,7.2023,7,60S ribosomal protein L23,1323400.1  1323400 60S ribosomal protein L23  60S ribosomal protein L23  Pf3D7_13_v3:971847-973036(-)  190,PF3D7_1323400,PF3D7_1323400
22.3463,22.5047,22.6541,20.3457,19.3443,22.1698,4.7786,7.46768,11,"protein kinase c inhibitor-like protein, putative","0817500.1  0817500 protein kinase c inhibitor-like protein, putative  protein kinase c inhibitor-like protein, putative  Pf3D7_08_v3:798777-800205(+)  185",PF3D7_0817500,PF3D7_0817500
24.5565,24.4315,24.512,24.0532,24.3605,19.5674,14.153,8.18463,18,"heat shock protein 40, type II","0501100.2  0501100 heat shock protein 40, type II  heat shock protein 40, type II  Pf3D7_05_v3:58037-59726(-)  390;0501100.1  0501100 heat shock protein 40, type II  heat shock protein 40, type II  Pf3D7_05_v3:58037-59726(-)  402",PF3D7_0501100.2;PF3D7_0501100,PF3D7_0501100.2;PF3D7_0501100
21.6445,21.6595,21.6566,19.386,19.769,20.3818,8.6478,7.02657,5,plasmepsin X,0808200.1  0808200 plasmepsin X  plasmepsin X  Pf3D7_08_v3:416344-418065(-)  573,PF3D7_0808200,PF3D7_0808200
